题目编号,赛事名称,题目名称,论文分类集合,P1-Block,P2-Obfuscate,P3-Morph,P4-Conceal,U0-待复核,保护证据,标注置信度,原始数据集相对路径
(star)CTF/ChineseGame,(star)CTF,ChineseGame,U0,否,否,否,否,是,静态证据不足，待人工复核,低,(star)CTF/ChineseGame
(star)CTF/Favourite Architecture flag0,(star)CTF,Favourite Architecture flag0,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: ess_vm_readv process_vm_writev pselect6 ptrace pwrite64 pwritev quotactl readahead readlinkat reboot recvfrom recvmmsg recvmsg; 环境/虚拟机检查: fini_array .dynamic .data .bss .comment qemu-riscv64 /lib64/ld-linux-x86-64.so.2 :/Pl:>* librt.so.1 _ITM_deregisterTMCloneTa; 时序/工具干预: %c,高,(star)CTF/Favourite Architecture flag0
(star)CTF/RL_Env,(star)CTF,RL_Env,U0,否,否,否,否,是,静态证据不足，待人工复核,低,(star)CTF/RL_Env
(star)CTF/reverse-1rep,(star)CTF,reverse-1rep,U0,否,否,否,否,是,静态证据不足，待人工复核,低,(star)CTF/reverse-1rep
(star)CTF/stream,(star)CTF,stream,U0,否,否,否,否,是,静态证据不足，待人工复核,低,(star)CTF/stream
(star)CTF/wherekey,(star)CTF,wherekey,U0,否,否,否,否,是,静态证据不足，待人工复核,低,(star)CTF/wherekey
ByteCTF/0x6d21,ByteCTF,0x6d21,U0,否,否,否,否,是,静态证据不足，待人工复核,低,ByteCTF/0x6d21
ByteCTF/debogus-main,ByteCTF,debogus-main,P2,否,是,否,否,否,由 C1/C4 映射：题目目录名明确指向诱饵/伪路径,中,ByteCTF/debogus-main
ByteCTF/language binding,ByteCTF,language binding,U0,否,否,否,否,是,静态证据不足，待人工复核,低,ByteCTF/language binding
ByteCTF/moderncpp,ByteCTF,moderncpp,U0,否,否,否,否,是,静态证据不足，待人工复核,低,ByteCTF/moderncpp
ByteCTF/reverse,ByteCTF,reverse,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: ystemTimeAsFileTime InitializeSListHead IsDebuggerPresent GetModuleHandleW KERNEL32.dll memcpy <?xml version='1.0' encoding='UTF-8' stand; 时序/工具干预: lVirtualUnwind UnhandledExceptionFilter SetUnhandledExceptionFilter GetCurrentProcess TerminateProcess IsProcessorFeaturePresen,中,ByteCTF/reverse
CISCN/HMI_e2e73078c680a304f13c9564835ac053 (2),CISCN,HMI_e2e73078c680a304f13c9564835ac053 (2),U0,否,否,否,否,是,静态证据不足，待人工复核,低,CISCN/HMI_e2e73078c680a304f13c9564835ac053 (2)
CSTC/ck,CSTC,ck,U0,否,否,否,否,是,静态证据不足，待人工复核,低,CSTC/ck
CSTC/crackme,CSTC,crackme,P4,否,否,否,是,否,"""C2 证据包含加壳/虚拟化线索：UPX/packer: program cannot be run in DOS mode. Rich UPX0 UPX1 UPX2 3.95 UPX! jxh, """"MR; @ @<8 (,04E Enter Nam Maci blo2o 's Cr But#n gi""",低,CSTC/crackme
