source_competition	organized_competition	question	source_path	organized_path	file_count	bytes
(star)CTF	(star)CTF	ChineseGame	(star)CTF/ChineseGame	(star)CTF/ChineseGame	1	1937720
(star)CTF	(star)CTF	Favourite Architecture flag0	(star)CTF/Favourite Architecture flag0	(star)CTF/Favourite Architecture flag0	3	24166176
(star)CTF	(star)CTF	RL_Env	(star)CTF/RL_Env	(star)CTF/RL_Env	1	64112
(star)CTF	(star)CTF	reverse-1rep	(star)CTF/reverse-1rep	(star)CTF/reverse-1rep	1	119119728
(star)CTF	(star)CTF	stream	(star)CTF/stream	(star)CTF/stream	2	2929312
(star)CTF	(star)CTF	wherekey	(star)CTF/wherekey	(star)CTF/wherekey	1	819088
ByteCTF	ByteCTF	0x6d21	ByteCTF/0x6d21	ByteCTF/0x6d21	1	12768
ByteCTF	ByteCTF	debogus-main	ByteCTF/debogus-main	ByteCTF/debogus-main	5	344534
ByteCTF	ByteCTF	language binding	ByteCTF/language binding	ByteCTF/language binding	1	2337280
ByteCTF	ByteCTF	moderncpp	ByteCTF/moderncpp	ByteCTF/moderncpp	1	1673136
ByteCTF Final	ByteCTF	reverse	ByteCTF Final/reverse	ByteCTF/reverse	1	13312
CISCN	CISCN	HMI_e2e73078c680a304f13c9564835ac053 (2)	CISCN/HMI_e2e73078c680a304f13c9564835ac053 (2)	CISCN/HMI_e2e73078c680a304f13c9564835ac053 (2)	8	5257728
CSTC	CSTC	ck	CSTC/ck	CSTC/ck	1	82268
CSTC	CSTC	crackme	CSTC/crackme	CSTC/crackme	1	3584
CSTC	CSTC	free_flag	CSTC/free_flag	CSTC/free_flag	1	12864
CSTC	CSTC	maze	CSTC/maze	CSTC/maze	1	17832
CSTC	CSTC	pack!pack!pack!	CSTC/pack!pack!pack!	CSTC/pack!pack!pack!	1	373760
CSTC	CSTC	rand	CSTC/rand	CSTC/rand	1	10688
CUMTCTF	CUMTCTF	REgame	CUMTCTF/REgame	CUMTCTF/REgame	1	10840
CUMTCTF	CUMTCTF	re1	CUMTCTF/re1	CUMTCTF/re1	1	6120
CUMTCTF	CUMTCTF	re6	CUMTCTF/re6	CUMTCTF/re6	1	26976
CUMTCTF	CUMTCTF	不识庐山真面目Revenge	CUMTCTF/不识庐山真面目Revenge	CUMTCTF/不识庐山真面目Revenge	1	23040
CyBRICS	CyBRICS	paired	CyBRICS/paired	CyBRICS/paired	3	675328
CyBRICS	CyBRICS	walker	CyBRICS/walker	CyBRICS/walker	1	41824
D3CTF	D3CTF	ancient	D3CTF/ancient	D3CTF/ancient	1	26800
D3CTF	D3CTF	jumpjump	D3CTF/jumpjump	D3CTF/jumpjump	1	847576
D3CTF	D3CTF	white_give	D3CTF/white_give	D3CTF/white_give	1	304640
D3CTF	D3CTF	zigzag	D3CTF/zigzag	D3CTF/zigzag	1	622592
DASCTF-03	DASCTF	Enjoyit-1的附件	DASCTF-03/Enjoyit-1的附件	DASCTF/Enjoyit-1的附件	1	7680
DASCTF-03	DASCTF	StrangeMine的附件	DASCTF-03/StrangeMine的附件	DASCTF/StrangeMine的附件	1	84480
DASCTF-03	DASCTF	drinkSomeTea的附件	DASCTF-03/drinkSomeTea的附件	DASCTF/drinkSomeTea的附件	1	40960
DASCTF-03	DASCTF	replace的附件	DASCTF-03/replace的附件	DASCTF/replace的附件	1	18944
DASCTF-05	DASCTF	1	DASCTF-05/1	DASCTF/1	1	50541
DASCTF-05	DASCTF	PaperPlease	DASCTF-05/PaperPlease	DASCTF/PaperPlease	1	17288
DozerCTF	DozerCTF	I wanna be the Dozer	DozerCTF/I wanna be the Dozer	DozerCTF/I wanna be the Dozer	3	11784691
DozerCTF	DozerCTF	dump	DozerCTF/dump	DozerCTF/dump	1	24313856
DozerCTF	DozerCTF	nim	DozerCTF/nim	DozerCTF/nim	1	388735
Google CTF	Google CTF	1	Google CTF/1	Google CTF/1	1	3660
Google CTF	Google CTF	2	Google CTF/2	Google CTF/2	91	108333680
Google CTF	Google CTF	3	Google CTF/3	Google CTF/3	2	53584
L3HCTF	L3HCTF	double-joy	L3HCTF/double-joy	L3HCTF/double-joy	1	19928
MRCTF	MRCTF	EzGame	MRCTF/EzGame	MRCTF/EzGame	4	35985312
MRCTF	MRCTF	MR_register	MRCTF/MR_register	MRCTF/MR_register	1	27136
MRCTF	MRCTF	dynamic_debug	MRCTF/dynamic_debug	MRCTF/dynamic_debug	1	1020496
MRCTF	MRCTF	real_signIn	MRCTF/real_signIn	MRCTF/real_signIn	1	133460
MT-CTF	MT-CTF	100mazes	MT-CTF/100mazes	MT-CTF/100mazes	1	958256
MT-CTF	MT-CTF	Inject	MT-CTF/Inject	MT-CTF/Inject	2	381440
MT-CTF	MT-CTF	matrix	MT-CTF/matrix	MT-CTF/matrix	1	345600
MT-CTF Final	MT-CTF	Random_f7f2f65c48a584e18ae15b23f2fbe935	MT-CTF Final/Random_f7f2f65c48a584e18ae15b23f2fbe935	MT-CTF/Random_f7f2f65c48a584e18ae15b23f2fbe935	1	9728
MT-CTF Final	MT-CTF	superflat_0b45ed5eff128b0e9e120a7edd178cce	MT-CTF Final/superflat_0b45ed5eff128b0e9e120a7edd178cce	MT-CTF/superflat_0b45ed5eff128b0e9e120a7edd178cce	2	11947752
MT-CTF Final	MT-CTF	wow_646b8efcc8d900414546f65f02dc9831	MT-CTF Final/wow_646b8efcc8d900414546f65f02dc9831	MT-CTF/wow_646b8efcc8d900414546f65f02dc9831	1	82432
NEEPUSEC	NEEPUSEC	OLLEH	NEEPUSEC/OLLEH	NEEPUSEC/OLLEH	1	133236
NEEPUSEC	NEEPUSEC	easyre	NEEPUSEC/easyre	NEEPUSEC/easyre	2	179712
NEEPUSEC	NEEPUSEC	ez	NEEPUSEC/ez	NEEPUSEC/ez	1	137216
NEEPUSEC	NEEPUSEC	login	NEEPUSEC/login	NEEPUSEC/login	1	10355883
NEFUCTF 2020	NEFUCTF	SignUp	NEFUCTF 2020/SignUp	NEFUCTF/SignUp	1	9728
